Gene,Regulation_in_hypoxia
PIK3CA2,down
PLD1,down
DMD,down
ANK2,down
JAK1,down
LMNA,down
BRD4,down
USP42,down
MECP2,down
TGM2,down
ANKH,down
MKLN1,down
LMAP1,down
CUGBP1,down
SMCAMP1,down
WDR68,down
RPS6KA2,down
KJAM3,down
BRD2,down
PI4KB,down
JUND,down
MAST4,down
UTRN,down
C11orf30,down
RAB6A,down
C4orf18,down
PTPN11,down
UBTF,down
COL6A1,down
CACNB2,down
CORIN,down
SPIRE1,down
COL6A1,down
ANGPTL2,down
SORT1,down
VPS35,down
ADAM9,down
PALLD,down
TNFRSF19,down
ZFX,down
OGDH,down
CDV3,down
MGEA5,down
SLC7A6,down
COG3,down
PTPN21,down
OBSL1,down
PHKG1,down
LANCL1,down
OBSL1,down
USP47,down
SMC3,down
ANKHD1,down
KBTBD2,down
RER,down
NFATC2IP,down
SPIRE1,down
PPP1R3B,down
VCAN,down
MAPK14,down
ACTR2,down
SORBS1,down
SOS2,down
MAPK14,down
CGNT2,down
ACTR2,down
STX16,down
NONO,down
JARID1B,down
RPA1,down
SNX13,down
NCAM1,down
UBE3B,down
ERAP2,down
MAP4K5,down
C6orf166,down
PRICKLE1,down
EPB41L2,down
PAFAH1B1,down
C1orf55,down
ERBB2,down
DNAJC14,down
DFAM115A,down
TGOLN2,down
PSEN1,down
CITED2,down
UBA1,down
PIP5K1A,down
BCL6,down
ZNF317,down
SNX13,down
SENP3,down
SMC3,down
MAT2A,down
PLDIP3,down
TRIPK5,down
RARB,down
OGT,down
PPFIBP1,down
TNRC6C,down
FRYL,down
ANKFY1,down
DIP2C,down
ACTR2,down
DLC1,down
ETV1,down
TPR,down
STAT3,down
CAB39,down
QSER1,down
ABLIM1,down
ZFP36L2,down
JAM3,down
GOLGA2,down
NFIA,down
CHRM2,down
ANK3,down
NBPF1,down
RFRYL,down
GALNT2,down
MARK2,down
TM9SF4,down
NUCB1,down
ARHGAP26,down
DCTN1,down
USP10,down
SART3,down
IPO8,down
HGS,down
SLC7A1,down
PIPN12,down
CLIC4,down
FKBP15,down
OIGFBP15,down
ATP6V1A,down
NBR1,down
TEAD2,down
N-PAC,down
CNOT1,down
MYO18B,down
LRIG1,down
ZNF514,down
APOE,down
MCM7,down
ARS2,down
NAT11,down
GM2A,down
JUND,down
MAP3K2,down
KPNA1,down
YY1,down
KDELR1,down
PREPL,down
OGT,down
IGF2R,down
ZNF275,down
ZMYM2,down
G3BP2,down
KIAA0430,down
ETV1,down
LRRFIP2,down
EDG7,down
OBSL1,down
RBL2,down
UBE2G2,down
CACNA2D1,down
UCKL1,down
BRD2,down
TRIM56,down
AFF4,down
UTX,down
SPTBN1,down
STRN,down
UCK1,down
SLC2A11,down
LOC552889,down
PPARA,down
C10orf46,down
ODF2,down
OGT,down
JAK1,down
SSRP1,down
EPRS,down
KPNA4,down
MAD1L1,down
ZC3H11A,down
USP25,down
TRIB2,down
APC,down
CEP68,down
PPP1R12B,down
CRK,down
PPP2R5D,down
GATAD1,down
DPP8,down
MTUS1,down
UBE4B,down
FUS,down
HPCAL1,down
ABCC9,down
PTPN21,down
USP34,down
DDX3X,down
PICALM,down
TNPO3,down
NONO,down
ORMDL3,down
MAP4K4,down
TRIB1,down
WDR6,down
ASPH,down
ZNF45,down
SETD5,down
EIF4ENIF1,down
HDLBP,down
MGAT4B,down
ARID1A,down
AGPS,down
MLCK,down
FGD6,down
CYFIP2,down
ACOT11,down
USP11,down
FBXO16///ZNF395,down
ADRA1A,down
MPHOSPH9,down
NUDT21,down
KLF3,down
SS18,down
EXOC5,down
RABEP1,down
PRPF4,down
,down
,down
SH3GLB2,down
SDCCAG1,down
ZNF398,down
CYBRD1,down
TRRAP,down
SON,down
NUP133,down
DDR2,down
AKAP8L,down
LSS,down
DPY19L1,down
DST,down
SFRS8,down
NAB1,down
EXOC7,down
SNTB2,down
SEC63,down
SHC1,down
ELMO2,down
C1orf25,down
GLUL,down
MYST4,down
FOSL2,down
KIAA0692,down
KCTD20,down
WDR26,down
SETX,down
TNRC6B,down
TM9SF1,down
FAM108B1,down
TMEM30A,down
CTDSPL2,down
ZNF24,down
BAT3,down
C21orf33,down
PRKCSH,down
PSCD3,down
BAD,down
AKAP10,down
SORBS3,down
AKT2,down
MLL,down
ITGA7,down
ANKHD1/// ANKHD1-EIF4EBP3,down
CNOT4,down
,down
7-Mar,down
ZNF540,down
SLC30A5,down
RALGDS,down
MAPK1,down
SGSM3,down
IPP,down
MED23,down
BMPR2,down
MOSC2,down
MLL,down
TNNT2,down
ATP6V0A1,down
RAD23A,down
NCOA3,down
MBP,down
SLC33A1,down
TBX5,down
DHX9,down
IFT122,down
CANX,down
RBJ,down
HADHA,down
DST,down
PIK3C2A,down
ADAM10,down
FNDC3A,down
SPIRE1,down
RASEF,down
PDE1C,down
RNF19A,down
ALKBH5,down
ZER1,down
OBSCN,down
ZKSCAN1,down
CLIC5,down
WAC,down
WFS1,down
SOS1,down
CKAP5,down
CUL4B,down
PRRX1,down
MCM3AP,down
SP1,down
NFYC,down
RELA,down
C5orf22,down
MYST4,down
IRX5,down
EPHX1,down
LOC731210 ///MICAL3,down
PHTF2,down
MAP3K3,down
ZNF227,down
MAGI2,down
BICD2,down
ADD1,down
PLXNB1,down
ADCY9,down
ZC3H7A,down
LOC285412///TOX4,down
NUP98,down
PDGFC,down
BOP1///LOC727967,down
OBSCN,down
GNB5,down
PTPN21,down
AP3D1,down
AKT2,down
SLC25A6,down
ZDHHC5,down
LTBP1,down
ARHGAP26,down
ATP8B2,down
TSC2,down
ATP11A,down
RIOK3,down
GLG1,down
NNT,down
C19orf6,down
BRD2,down
PURB,down
GSR,down
ARFGEF1,down
ARFIP1,down
RTKN,down
JMJD3,down
ZSCAN18,down
KBTBD4,down
PRPF6,down
CNOT3,down
ZRANB1,down
GANAB,down
PPFIA1,down
VKORC1L1,down
RC3H2,down
FBXL15,down
ZFYVE9,down
,down
TNRC6B,down
APH1A,down
PPP5C,down
ZNF289,down
GALNT2,down
SLC25A30,down
KLHL23,down
RAB3GAP2,down
RC3H2,down
PLCB4,down
GBA2,down
CDKN1C,down
WWC3,down
TPP1,down
CD99L2,down
ZNF655,down
AFAP1L1,down
EIF4B,down
PAK2,down
PVR,down
RAB3GAP1,down
ILF3,down
C6orf106,down
PURA,down
WHSC1L1,down
FEM1B,down
JUN,down
NDRG2,down
PCDHGA1,down
SLC6A8,down
UBTF,down
ZER1,down
PRNP,down
GTF3C1,down
PUM1,down
SFRS1,down
KBTBD2,down
TIMM44,down
AGPAT3,down
EZR,down
DSCR3,down
ETS1,down
LOC731049 ///UBE2S,down
SLC6A8,down
MCM3AP,down
GRLF1,down
ARNT,down
ITGA6,down
LARP5,down
HSF1,down
DCP1A,down
SAMD4A,down
DES,down
KIAA1826,down
MAST4,down
NFIC,down
HSPA4,down
FOXO3,down
CBFB,down
MAP2K2,down
LOC653390///LOC730092 ///RRN3,down
GCN1L1,down
CUL5,down
,down
RRAS2,down
MXD4,down
TGM2,down
COL4A1,down
PTRF,down
MBD1,down
BTG2,down
GRK5,down
PATL1,down
ILF3,down
RHOJ,down
C10orf18,down
NARG2,down
TCF25,down
SPG7,down
HNRPM,down
FIGN,down
C5orf41,down
SMURF1,down
CIRBP,down
SLAIN2,down
RMND5A,down
SH3D19,down
PCM1,down
QKI,down
IDE,down
ZNHIT4,down
TBX5,down
MLLT4,down
MYLIP,down
PCYT1A,down
RBM8A,down
PACSIN2,down
POLR2E,down
STAG2,down
C1orf71,down
TMEM127,down
VARS,down
PSAP,down
ZNF12,down
